Name             Version ID                  Fix Versions
---------------- ------- ------------------- -------------
click            8.1.8   PYSEC-2026-2132     8.3.3
cryptography     49.0.0  PYSEC-2026-3552     50.0.0
ecdsa            0.19.2  PYSEC-2026-1325
filelock         3.19.1  PYSEC-2026-1375     3.20.1
filelock         3.19.1  PYSEC-2026-1374     3.20.3
msgpack          1.1.2   PYSEC-2026-3625     1.2.1
orjson           3.11.5  GHSA-hx9q-6w63-j58v 3.11.6
pillow           11.3.0  PYSEC-2026-165      12.2.0
pillow           11.3.0  PYSEC-2026-2250     12.2.0
pillow           11.3.0  PYSEC-2026-2253     12.3.0
pillow           11.3.0  PYSEC-2026-2251     12.2.0
pillow           11.3.0  PYSEC-2026-2255     12.3.0
pillow           11.3.0  PYSEC-2026-2257     12.3.0
pillow           11.3.0  PYSEC-2026-2256     12.3.0
pillow           11.3.0  PYSEC-2026-2254     12.3.0
pillow           11.3.0  PYSEC-2026-2252     12.2.0
pillow           11.3.0  PYSEC-2026-2249     12.1.1
pillow           11.3.0  PYSEC-2026-2874     12.2.0
pillow           11.3.0  PYSEC-2026-3453     12.3.0
pillow           11.3.0  PYSEC-2026-3451     12.3.0
pillow           11.3.0  PYSEC-2026-3454     12.3.0
pillow           11.3.0  PYSEC-2026-3495     12.3.0
pillow           11.3.0  PYSEC-2026-3496     12.3.0
pillow           11.3.0  PYSEC-2026-3494     12.3.0
pillow           11.3.0  PYSEC-2026-3493     12.3.0
pip              26.0.1  PYSEC-2026-196      26.1.2
pip              26.0.1  PYSEC-2026-2875     26.1
pip              26.0.1  PYSEC-2026-2876     26.1
pip              26.0.1  PYSEC-2026-3721     26.2
protobuf         4.25.9  PYSEC-2026-1805     5.29.6,6.33.5
pyasn1           0.6.3   PYSEC-2026-3456     0.6.4
pyasn1           0.6.3   PYSEC-2026-3457     0.6.4
pyasn1           0.6.3   PYSEC-2026-3455     0.6.4
pytest           8.2.2   PYSEC-2026-1845     9.0.3
python-dotenv    1.0.1   PYSEC-2026-2270     1.2.2
python-jose      3.3.0   PYSEC-2024-232      3.4.0
python-jose      3.3.0   PYSEC-2024-233      3.4.0
python-jose      3.3.0   PYSEC-2025-185
python-multipart 0.0.9   PYSEC-2026-1852     0.0.22
python-multipart 0.0.9   PYSEC-2026-1851     0.0.18
python-multipart 0.0.9   PYSEC-2026-3038     0.0.26
python-multipart 0.0.9   PYSEC-2026-3037     0.0.30
python-multipart 0.0.9   PYSEC-2026-3036     0.0.30
python-multipart 0.0.9   PYSEC-2026-3040     0.0.31
python-multipart 0.0.9   PYSEC-2026-3039     0.0.27
requests         2.32.5  PYSEC-2026-2275     2.33.0
setuptools       58.1.0  PYSEC-2022-43012    65.5.1
setuptools       58.1.0  PYSEC-2025-49       78.1.1
setuptools       58.1.0  PYSEC-2026-1918     70.0.0
setuptools       58.1.0  PYSEC-2026-3447     83.0.0
starlette        0.37.2  PYSEC-2026-161      1.0.1
starlette        0.37.2  PYSEC-2026-249      1.3.1
starlette        0.37.2  PYSEC-2026-248      1.3.0
starlette        0.37.2  PYSEC-2026-1943     0.40.0
starlette        0.37.2  PYSEC-2026-1941     0.47.2
starlette        0.37.2  PYSEC-2026-2281     1.1.0
starlette        0.37.2  PYSEC-2026-2280     1.1.0
ujson            5.11.0  PYSEC-2026-2292     5.12.0
ujson            5.11.0  PYSEC-2026-2291     5.12.0
ujson            5.11.0  PYSEC-2026-2294     5.13.0
ujson            5.11.0  PYSEC-2026-2293     5.12.1
urllib3          2.6.3   PYSEC-2026-142      2.7.0
urllib3          2.6.3   PYSEC-2026-141      2.7.0
